Name,Classification,Item Level,Type,Set Name,From,"Item
DB Record",record
Deathweaver's Helmet,MonsterInfrequent Epic,42.0,ArmorProtective_Head,,TQ,mi_e_arachnos.dbr,b'records\\item\\equipmenthelmmi_e_arachnos.dbr'
Galesong,Epic,50.0,ArmorProtective_UpperBody,,TQ,um_e_galesong.dbr,b'records\\item\\equipmentarmorum_e_galesong.dbr'
Essence of the Golden Fleece,Common,,ItemRelic,,TQ,01_act1_goldenfleece.dbr,b'records\\item\\relics01_act1_goldenfleece.dbr'
Incarnation of the Chill of Tartarus,Common,,ItemRelic,,TQ Immortal Throne,xpack/03_act4_chilloftartarus.dbr,b'records\\xpack\\item\\relics03_act4_chilloftartarus.dbr'
Horns of Vorenus,Epic,33.0,ArmorProtective_Head,,TQ Immortal Throne,xpack/u_n_001.dbr,b'records\\xpack\\item\\equipmentarmor\\helmu_n_001.dbr'
Epeius' Greaves,Epic,8.0,ArmorProtective_LowerBody,,TQ,u_n_epeius'greaves.dbr,"b""records\\item\\equipmentgreavesu_n_epeius'greaves.dbr"""
Essence of the Domain of the Dragon-Kings,Common,,ItemRelic,,TQ,01_act3_dragonkingsdomain.dbr,b'records\\item\\relics01_act3_dragonkingsdomain.dbr'
Jarngreipnr,Legendary,77.0,ArmorProtective_Forearm,Donar's Might,TQ Ragnarok,xpack2/us_l_donarsmight.dbr,b'records\\xpack2\\item\\equipmentarmor\\armbandus_l_donarsmight.dbr'
Vestment of Bewilderment,Epic,49.0,ArmorProtective_UpperBody,,TQ,u_e_vestmentofbewilderment.dbr,b'records\\item\\equipmentarmoru_e_vestmentofbewilderment.dbr'
Incarnation of Hecate's Crescent,Common,,ItemRelic,,TQ,03_act1_hecatescrescent.dbr,b'records\\item\\relics03_act1_hecatescrescent.dbr'
Nerthus Armbands,Epic,61.0,ArmorProtective_Forearm,,TQ Ragnarok,xpack2/u_e_05.dbr,b'records\\xpack2\\item\\equipmentarmor\\armbandu_e_05.dbr'
Embodiment of the Monkey King's Trickery,Common,,ItemRelic,,TQ,02_act3_monkeykingstrickery.dbr,b'records\\item\\relics02_act3_monkeykingstrickery.dbr'
Harbinger's Bracer,Epic,56.0,ArmorProtective_Forearm,The Harbinger,TQ Immortal Throne,xpack/us_e_004.dbr,b'records\\xpack\\item\\equipmentarmor\\armbandus_e_004.dbr'
Ichthian Whomper,MonsterInfrequent Epic,48.0,WeaponMelee_Mace,,TQ,mi_e_ichthianmelee.dbr,b'records\\item\\equipmentweapon\\clubmi_e_ichthianmelee.dbr'
Troll's Branch,MonsterInfrequent Epic,57.0,WeaponMagical_Staff,,TQ Ragnarok,xpack2/mi_e_troll.dbr,b'records\\xpack2\\item\\equipmentweapons\\staffmi_e_troll.dbr'
Phonoi,MonsterInfrequent Epic,55.0,WeaponMelee_Axe,,TQ Immortal Throne,xpack/mi_e_machae.dbr,b'records\\xpack\\item\\equipmentweapons\\axemi_e_machae.dbr'
Persephone's Ring,Legendary,69.0,ArmorJewelry_Ring,,TQ Immortal Throne,xpack/u_l_002.dbr,b'records\\xpack\\item\\equipmentarmor\\ringu_l_002.dbr'
The Night Mistress's Corselet,MonsterInfrequent Normal,32.0,ArmorProtective_UpperBody,,TQ Immortal Throne,xpack/mi_n_empusamage.dbr,b'records\\xpack\\item\\equipmentarmor\\torsomi_n_empusamage.dbr'
Dwarven Bone Fetish,Epic,38.0,ArmorJewelry_Amulet,,TQ Ragnarok,xpack2/u_n_001.dbr,b'records\\xpack2\\item\\equipmentarmor\\amuletu_n_001.dbr'
Helmet of the Restless King,MonsterInfrequent Legendary,77.0,ArmorProtective_Head,,TQ Ragnarok,xpack2/mi_l_draugr.dbr,b'records\\xpack2\\item\\equipmentarmor\\helmmi_l_draugr.dbr'
Deathweaver's Helmet,MonsterInfrequent Normal,9.0,ArmorProtective_Head,,TQ,mi_n_arachnos.dbr,b'records\\item\\equipmenthelmmi_n_arachnos.dbr'
Primal Magma,Common,,ItemCharm,,TQ Ragnarok,xpack2/01_act5_primalmagma.dbr,b'records\\xpack2\\item\\charms01_act5_primalmagma.dbr'
Incarnation of the Golden Fleece,Common,,ItemRelic,,TQ,03_act1_goldenfleece.dbr,b'records\\item\\relics03_act1_goldenfleece.dbr'
Essence of Dionysus' Wineskin,Common,,ItemRelic,,TQ,01_act1_dionysuswineskin.dbr,b'records\\item\\relics01_act1_dionysuswineskin.dbr'
Alcyoneus’ Legplates,MonsterInfrequent Normal,32.0,ArmorProtective_LowerBody,,TQ Immortal Throne,xpack/mi_n_gigantesmelee02.dbr,b'records\\xpack\\item\\equipmentarmor\\greavesmi_n_gigantesmelee02.dbr'
Teslos,Epic,20.0,WeaponMelee_Sword,,TQ,u_n_teslos.dbr,b'records\\item\\equipmentweapon\\swordu_n_teslos.dbr'
Garb of the Scorpion King,Epic,20.0,ArmorProtective_UpperBody,Gebel Tjauti,TQ,us_n_gebeltjauti.dbr,b'records\\item\\equipmentarmorus_n_gebeltjauti.dbr'
Trapper's Spear,MonsterInfrequent Epic,37.0,WeaponHunting_Spear,,TQ,mi_e_centaurtrapper.dbr,b'records\\item\\equipmentweapon\\spearmi_e_centaurtrapper.dbr'
Batrachos Greaves,MonsterInfrequent Normal,32.0,ArmorProtective_LowerBody,,TQ Immortal Throne,xpack/mi_n_anouranmelee.dbr,b'records\\xpack\\item\\equipmentarmor\\greavesmi_n_anouranmelee.dbr'
Kelpie Vambrace,MonsterInfrequent Normal,36.0,ArmorProtective_Forearm,,TQ Ragnarok,xpack2/mi_n_kelpie.dbr,b'records\\xpack2\\item\\equipmentarmor\\armbandmi_n_kelpie.dbr'
Soldier's Legplate,MonsterInfrequent Normal,32.0,ArmorProtective_LowerBody,,TQ Immortal Throne,xpack/mi_n_formicidmelee01.dbr,b'records\\xpack\\item\\equipmentarmor\\greavesmi_n_formicidmelee01.dbr'
Raiment of the Deep,MonsterInfrequent Epic,58.0,ArmorProtective_UpperBody,,TQ Ragnarok,xpack2/mi_e_fjordmage.dbr,b'records\\xpack2\\item\\equipmentarmor\\torsomi_e_fjordmage.dbr'
Coronal of the Abyss,Legendary,75.0,ArmorProtective_Head,,TQ Immortal Throne,xpack/um_l_002.dbr,b'records\\xpack\\item\\equipmentarmor\\helmum_l_002.dbr'
Athlon,Legendary,56.0,ArmorProtective_Head,,TQ,u_e_athlon.dbr,b'records\\item\\equipmenthelmu_e_athlon.dbr'
Staff of the Chosen,MonsterInfrequent Legendary,76.0,WeaponMagical_Staff,,TQ Ragnarok,xpack2/mi_l_nerthusshaman.dbr,b'records\\xpack2\\item\\equipmentweapons\\staffmi_l_nerthusshaman.dbr'
Hu Hai's Pride,Epic,28.0,WeaponHunting_Spear,,TQ,u_n_huhai'spride.dbr,"b""records\\item\\equipmentweapon\\spearu_n_huhai'spride.dbr"""
Crystal Bracelet,Epic,45.0,ArmorProtective_Forearm,The Ice Crystals,TQ,um_e_crystalbracelet.dbr,b'records\\item\\equipmentarmbandum_e_crystalbracelet.dbr'
Desert's Kiss,Epic,16.0,WeaponHunting_Spear,,TQ,u_n_desert'skiss.dbr,"b""records\\item\\equipmentweapon\\spearu_n_desert'skiss.dbr"""
Ajax' Bronze Tower,Legendary,59.0,WeaponArmor_Shield,,TQ,u_l_ajax'bronzetower.dbr,"b""records\\item\\equipmentshieldu_l_ajax'bronzetower.dbr"""
Epic Cold Essence,Common,,ItemCharm,,TQ Ragnarok,xpack2/02_act5_coldessence.dbr,b'records\\xpack2\\item\\charms02_act5_coldessence.dbr'
Brynhild's Helm,Legendary,77.0,ArmorProtective_Head,,TQ Ragnarok,xpack2/u_l_04.dbr,b'records\\xpack2\\item\\equipmentarmor\\helmu_l_04.dbr'
Armor of Peleus,Legendary,65.0,ArmorProtective_UpperBody,,TQ,u_l_armorofpeleus.dbr,b'records\\item\\equipmentarmoru_l_armorofpeleus.dbr'
Brigand's Bow,MonsterInfrequent Epic,37.0,WeaponHunting_Bow,,TQ,mi_e_satyrbrigand.dbr,b'records\\item\\equipmentweapon\\bowmi_e_satyrbrigand.dbr'
Labyrinthine Bracers,Epic,12.0,ArmorProtective_Forearm,Labyrinthine Warsuit,TQ,us_n_labyrinthinearmor.dbr,b'records\\item\\equipmentarmbandus_n_labyrinthinearmor.dbr'
Suanmi,Epic,49.0,WeaponHunting_Bow,,TQ,u_e_suanmi.dbr,b'records\\item\\equipmentweapon\\bowu_e_suanmi.dbr'
Alexander's Cuirass,Legendary,68.0,ArmorProtective_UpperBody,Alexander's Panoply,TQ,us_l_alexander'spanoply.dbr,"b""records\\item\\equipmentarmorus_l_alexander'spanoply.dbr"""
Embodiment of the Light of Belenus,Common,,ItemRelic,,TQ Ragnarok,xpack2/02_act5_lightofbelenus.dbr,b'records\\xpack2\\item\\relics02_act5_lightofbelenus.dbr'
Lazarus Bracers,Epic,24.0,ArmorProtective_Forearm,Lazarus Armor,TQ,us_n_lazarusarmor.dbr,b'records\\item\\equipmentarmbandus_n_lazarusarmor.dbr'
The Imperator,Legendary,59.0,WeaponMelee_Sword,,TQ Immortal Throne,xpack/u_e_002.dbr,b'records\\xpack\\item\\equipmentweapons\\swordu_e_002.dbr'
The Monkey King's Greed,Epic,49.0,WeaponMelee_Axe,,TQ,u_e_themonkeyking'sgreed.dbr,"b""records\\item\\equipmentweapon\\axeu_e_themonkeyking'sgreed.dbr"""
Thialfi's Studded Arms,Epic,37.0,ArmorProtective_Forearm,Thialfi's Studded Leathers,TQ Ragnarok,xpack2/u_n_01.dbr,b'records\\xpack2\\item\\equipmentarmor\\armbandu_n_01.dbr'
Exotic Mask,MonsterInfrequent Normal,22.0,ArmorProtective_Head,,TQ,mi_n_tropicalarachnos.dbr,b'records\\item\\equipmenthelmmi_n_tropicalarachnos.dbr'
Windswept Greaves,MonsterInfrequent Normal,16.0,ArmorProtective_LowerBody,,TQ,mi_n_duneraider.dbr,b'records\\item\\equipmentgreavesmi_n_duneraider.dbr'
Exotic Carapace,MonsterInfrequent Legendary,60.0,WeaponArmor_Shield,,TQ,mi_l_tropicalarachnos.dbr,b'records\\item\\equipmentshieldmi_l_tropicalarachnos.dbr'
Lar,MonsterInfrequent Legendary,70.0,ArmorProtective_Forearm,,TQ Immortal Throne,xpack/mi_l_troglodytemelee.dbr,b'records\\xpack\\item\\equipmentarmor\\armbandmi_l_troglodytemelee.dbr'
Phylactery of Shadows,Lesser,5.0,ItemArtifact,,TQ Immortal Throne,xpack/e_la_phylacteryofshadows.dbr,b'records\\xpack\\item\\artifactse_la_phylacteryofshadows.dbr'
Blackrock Mallet,Epic,28.0,WeaponMelee_Mace,,TQ,u_n_blackrockmallet.dbr,b'records\\item\\equipmentweapon\\clubu_n_blackrockmallet.dbr'
Chromatic Diadem,Epic,20.0,ArmorProtective_Head,,TQ,um_n_chromaticdiadem.dbr,b'records\\item\\equipmenthelmum_n_chromaticdiadem.dbr'
Brigand's Axe,Epic,24.0,WeaponMelee_Axe,,TQ,u_n_brigand'saxe.dbr,"b""records\\item\\equipmentweapon\\axeu_n_brigand'saxe.dbr"""
Arcane Formula ~ Sunstone,Lesser,,ItemArtifactFormula,,TQ Immortal Throne,xpack/n_la_sunstone_formula.dbr,b'records\\xpack\\item\\artifacts\\arcaneformulaen_la_sunstone_formula.dbr'
Bracers of Atlas,Epic,16.0,ArmorProtective_Forearm,,TQ,u_n_bracersofatlas.dbr,b'records\\item\\equipmentarmbandu_n_bracersofatlas.dbr'
Scironian Helmet,MonsterInfrequent Epic,56.0,ArmorProtective_Head,,TQ Ragnarok,xpack2/mi_e_banditgreek.dbr,b'records\\xpack2\\item\\equipmentarmor\\helmmi_e_banditgreek.dbr'
Deathrattle,Lesser,5.0,ItemArtifact,,TQ Immortal Throne,xpack/n_la_deathrattle.dbr,b'records\\xpack\\item\\artifactsn_la_deathrattle.dbr'
Arcane Formula ~ Shroud of Eternal Night,Lesser,,ItemArtifactFormula,,TQ Immortal Throne,xpack/n_la_shroudofeternalnight_formula.dbr,b'records\\xpack\\item\\artifacts\\arcaneformulaen_la_shroudofeternalnight_formula.dbr'
Diogenes' Wrap,Legendary,53.0,ArmorProtective_Forearm,,TQ,um_e_diogenes'wrap.dbr,"b""records\\item\\equipmentarmbandum_e_diogenes'wrap.dbr"""
Defiler,Epic,39.0,WeaponHunting_Spear,,TQ,u_e_defiler.dbr,b'records\\item\\equipmentweapon\\spearu_e_defiler.dbr'
Ptolemy's Crested Helm,Epic,48.0,ArmorProtective_Head,,TQ,u_e_ptolemy'screstedhelm.dbr,"b""records\\item\\equipmenthelmu_e_ptolemy'screstedhelm.dbr"""
Head Hunter's Axe,MonsterInfrequent Epic,49.0,WeaponMelee_Axe,,TQ,mi_e_dragonian.dbr,b'records\\item\\equipmentweapon\\axemi_e_dragonian.dbr'
Thracian Shin Guards,Legendary,61.0,ArmorProtective_LowerBody,,TQ Ragnarok,xpack2/u_e_02.dbr,b'records\\xpack2\\item\\equipmentarmor\\greavesu_e_02.dbr'
Ethereal Cage,MonsterInfrequent Normal,9.0,ArmorProtective_UpperBody,,TQ,mi_n_wraith.dbr,b'records\\item\\equipmentarmormi_n_wraith.dbr'
Torc of the Ancestors,Legendary,79.0,ArmorJewelry_Amulet,,TQ Ragnarok,xpack2/u_l_001.dbr,b'records\\xpack2\\item\\equipmentarmor\\amuletu_l_001.dbr'
Oracle's Vestment,Epic,12.0,ArmorProtective_UpperBody,Oracle's Garments,TQ,usm_n_oracle'sgarments.dbr,"b""records\\item\\equipmentarmorusm_n_oracle'sgarments.dbr"""
Pytho,Legendary,75.0,WeaponMelee_Axe,,TQ Immortal Throne,xpack/u_l_001.dbr,b'records\\xpack\\item\\equipmentweapons\\axeu_l_001.dbr'
Emperor's Gift,Epic,49.0,WeaponHunting_Bow,,TQ,u_e_emperorsgift.dbr,b'records\\item\\equipmentweapon\\bowu_e_emperorsgift.dbr'
Vest of the Wandering Goat,Epic,28.0,ArmorProtective_UpperBody,,TQ,um_n_vestofthewanderinggoat.dbr,b'records\\item\\equipmentarmorum_n_vestofthewanderinggoat.dbr'
Sorcerer's Fate,Epic,37.0,WeaponMelee_Axe,,TQ Ragnarok,xpack2/u_n_02.dbr,b'records\\xpack2\\item\\equipmentweapons\\axeu_n_02.dbr'
Ymochel's Riddlerobe,Epic,49.0,ArmorProtective_UpperBody,,TQ,um_e_ymochelsriddlerobe.dbr,b'records\\item\\equipmentarmorum_e_ymochelsriddlerobe.dbr'
Ch'kra's Leggings,MonsterInfrequent Legendary,68.0,ArmorProtective_LowerBody,,TQ Immortal Throne,xpack/mi_l_formicidmage02.dbr,b'records\\xpack\\item\\equipmentarmor\\greavesmi_l_formicidmage02.dbr'
Caduceus,Legendary,65.0,WeaponMagical_Staff,,TQ,u_l_caduceus.dbr,b'records\\item\\equipmentweapon\\staffu_l_caduceus.dbr'
Black Pearl Pendant,Legendary,61.0,ArmorJewelry_Amulet,The Cursed Jewels,TQ,u_l_blackpearlpendant.dbr,b'records\\item\\equipmentamuletu_l_blackpearlpendant.dbr'
Shatterbone,Epic,28.0,WeaponMelee_Mace,,TQ,u_n_shatterbone.dbr,b'records\\item\\equipmentweapon\\clubu_n_shatterbone.dbr'
Kingslayer,Greater,5.0,ItemArtifact,,TQ Immortal Throne,xpack/e_ga_sandofkronos.dbr,b'records\\xpack\\item\\artifactse_ga_sandofkronos.dbr'
Scepter of the Shadow King,Legendary,75.0,WeaponMelee_Mace,,TQ Immortal Throne,xpack/u_l_001.dbr,b'records\\xpack\\item\\equipmentweapons\\clubu_l_001.dbr'
Scorpion's Tail,Legendary,53.0,WeaponHunting_Spear,,TQ,u_e_scorpion'stail.dbr,"b""records\\item\\equipmentweapon\\spearu_e_scorpion'stail.dbr"""
Obsidian Helm,Epic,16.0,ArmorProtective_Head,Obsidian Armor,TQ,us_n_obsidianarmor.dbr,b'records\\item\\equipmenthelmus_n_obsidianarmor.dbr'
Dragontongue,Greater,5.0,ItemArtifact,,TQ Immortal Throne,xpack/e_ga_dragontongue.dbr,b'records\\xpack\\item\\artifactse_ga_dragontongue.dbr'
Prophecy,Epic,56.0,WeaponMelee_Sword,The Harbinger,TQ Immortal Throne,xpack/us_e_004.dbr,b'records\\xpack\\item\\equipmentweapons\\swordus_e_004.dbr'
Stonebinder's Cuffs,MonsterInfrequent Epic,42.0,ArmorProtective_Forearm,,TQ,mi_e_gorgonarcher.dbr,b'records\\item\\equipmentarmbandmi_e_gorgonarcher.dbr'
Emerald Crown,Epic,20.0,ArmorProtective_Head,,TQ,u_n_emeraldcrown.dbr,b'records\\item\\equipmenthelmu_n_emeraldcrown.dbr'
Gusir's Gifts,Legendary,77.0,WeaponHunting_Bow,,TQ Ragnarok,xpack2/u_l_02.dbr,b'records\\xpack2\\item\\equipmentweapons\\bowu_l_02.dbr'
Essence of Guan-Yu's Grace,Common,,ItemRelic,,TQ,01_act3_guanyusgrace.dbr,b'records\\item\\relics01_act3_guanyusgrace.dbr'
Batrachos Breastplate,MonsterInfrequent Epic,55.0,ArmorProtective_UpperBody,,TQ Immortal Throne,xpack/mi_e_anouranmelee.dbr,b'records\\xpack\\item\\equipmentarmor\\torsomi_e_anouranmelee.dbr'
Khthonion Razor,MonsterInfrequent Normal,32.0,WeaponMelee_Sword,,TQ Immortal Throne,xpack/mi_n_melinoe.dbr,b'records\\xpack\\item\\equipmentweapons\\swordmi_n_melinoe.dbr'
Jade Breastplate,Epic,28.0,ArmorProtective_UpperBody,Pride of the Jade Palace,TQ,us_n_prideofthejadepalace.dbr,b'records\\item\\equipmentarmorus_n_prideofthejadepalace.dbr'
Flameward,Epic,28.0,WeaponArmor_Shield,,TQ,u_n_flameward.dbr,b'records\\item\\equipmentshieldu_n_flameward.dbr'
Pillars of Carnus,Legendary,70.0,ArmorProtective_LowerBody,Raiment of Carnus,TQ Immortal Throne,xpack/usm_l_002.dbr,b'records\\xpack\\item\\equipmentarmor\\greavesusm_l_002.dbr'
Raiment of the Deep,MonsterInfrequent Legendary,77.0,ArmorProtective_UpperBody,,TQ Ragnarok,xpack2/mi_l_fjordmage.dbr,b'records\\xpack2\\item\\equipmentarmor\\torsomi_l_fjordmage.dbr'
Ch'kra's Crown,MonsterInfrequent Legendary,68.0,ArmorProtective_Head,,TQ Immortal Throne,xpack/mi_l_formicidmage02.dbr,b'records\\xpack\\item\\equipmentarmor\\helmmi_l_formicidmage02.dbr'
Huo Qubing's Cuirass,Legendary,65.0,ArmorProtective_UpperBody,Huo Qubing's Relics,TQ,us_l_huoqubing'srelics.dbr,"b""records\\item\\equipmentarmorus_l_huoqubing'srelics.dbr"""
Venom Heart,Epic,24.0,ArmorJewelry_Amulet,,TQ,u_n_venomheart.dbr,b'records\\item\\equipmentamuletu_n_venomheart.dbr'
Witch Doctor's Leggings,MonsterInfrequent Normal,32.0,ArmorProtective_LowerBody,,TQ Immortal Throne,xpack/mi_n_anouranmage.dbr,b'records\\xpack\\item\\equipmentarmor\\greavesmi_n_anouranmage.dbr'
Nomad's Body Wrap,Epic,24.0,ArmorProtective_UpperBody,,TQ,u_n_nomadsbodywrap.dbr,b'records\\item\\equipmentarmoru_n_nomadsbodywrap.dbr'
Exotic Armor,MonsterInfrequent Epic,48.0,ArmorProtective_UpperBody,,TQ,mi_e_tropicalarachnos.dbr,b'records\\item\\equipmentarmormi_e_tropicalarachnos.dbr'
Scironian Helmet,MonsterInfrequent Normal,34.0,ArmorProtective_Head,,TQ Ragnarok,xpack2/mi_n_banditgreek.dbr,b'records\\xpack2\\item\\equipmentarmor\\helmmi_n_banditgreek.dbr'
Deathweaver's Legtip,MonsterInfrequent Legendary,60.0,WeaponMelee_Sword,,TQ,mi_l_arachnos.dbr,b'records\\item\\equipmentweapon\\swordmi_l_arachnos.dbr'
Stonewall,Epic,20.0,WeaponArmor_Shield,,TQ,u_n_stonewall.dbr,b'records\\item\\equipmentshieldu_n_stonewall.dbr'
Templar's Brain-cage,Epic,33.0,ArmorProtective_Head,The Templar,TQ Immortal Throne,xpack/u_n_002.dbr,b'records\\xpack\\item\\equipmentarmor\\helmu_n_002.dbr'
Chiron's Loop,Legendary,50.0,ArmorJewelry_Ring,,TQ,u_e_chiron'sloop.dbr,"b""records\\item\\equipmentringu_e_chiron'sloop.dbr"""
Eidolon Shell,Legendary,50.0,WeaponArmor_Shield,,TQ,u_e_eidolonshell.dbr,b'records\\item\\equipmentshieldu_e_eidolonshell.dbr'
Bandari's Bracers,MonsterInfrequent Legendary,68.0,ArmorProtective_Forearm,,TQ,mi_l_bandari.dbr,b'records\\item\\equipmentarmbandmi_l_bandari.dbr'
Legendary Boar Hide,Common,,ItemCharm,,TQ,03_act1_boarshide.dbr,b'records\\item\\animalrelics03_act1_boarshide.dbr'
Deathweaver's Armplates,MonsterInfrequent Epic,39.0,ArmorProtective_Forearm,,TQ,mi_e_arachnos.dbr,b'records\\item\\equipmentarmbandmi_e_arachnos.dbr'
Hespera's Greaves,Legendary,59.0,ArmorProtective_LowerBody,,TQ Immortal Throne,xpack/u_e_002.dbr,b'records\\xpack\\item\\equipmentarmor\\greavesu_e_002.dbr'
Lindane,Epic,56.0,WeaponMelee_Sword,Bane of the Karkinos,TQ Immortal Throne,xpack/us_e_003.dbr,b'records\\xpack\\item\\equipmentweapons\\swordus_e_003.dbr'
Bone Helm,Legendary,56.0,ArmorProtective_Head,Bone Armor,TQ,us_e_bonearmor.dbr,b'records\\item\\equipmenthelmus_e_bonearmor.dbr'
Essence of the Power of Nerthus,Common,,ItemRelic,,TQ Ragnarok,xpack2/01_act5_nerthusmistletoe.dbr,b'records\\xpack2\\item\\relics01_act5_nerthusmistletoe.dbr'
Homados,MonsterInfrequent Normal,32.0,ArmorProtective_UpperBody,,TQ Immortal Throne,xpack/mi_n_machaemelee.dbr,b'records\\xpack\\item\\equipmentarmor\\torsomi_n_machaemelee.dbr'
Essence of Amun-Ra's Glory,Common,,ItemRelic,,TQ,01_act2_amunrasglory.dbr,b'records\\item\\relics01_act2_amunrasglory.dbr'
Rancor,MonsterInfrequent Normal,34.0,WeaponMelee_Mace,,TQ Immortal Throne,xpack/mi_n_gigantes.dbr,b'records\\xpack\\item\\equipmentweapons\\clubmi_n_gigantes.dbr'
Mbuti's Advocate,MonsterInfrequent Legendary,71.0,WeaponHunting_Spear,,TQ Immortal Throne,xpack/mi_l_anouran.dbr,b'records\\xpack\\item\\equipmentweapons\\spearmi_l_anouran.dbr'
Delysid,Epic,33.0,WeaponMagical_Staff,,TQ Immortal Throne,xpack/u_n_002.dbr,b'records\\xpack\\item\\equipmentweapons\\staffu_n_002.dbr'
Jackalman Sling,MonsterInfrequent Normal,2.0,WeaponHunting_RangedOneHand,,TQ Ragnarok,xpack2/mi_n_jackalman.dbr,b'records\\xpack2\\item\\equipmentweapons\\1hrangedmi_n_jackalman.dbr'
Athena's Battle Greaves,Legendary,53.0,ArmorProtective_LowerBody,,TQ,u_e_athena'sbattlegreaves.dbr,"b""records\\item\\equipmentgreavesu_e_athena'sbattlegreaves.dbr"""
Huo Qubing's Helm,Legendary,68.0,ArmorProtective_Head,Huo Qubing's Relics,TQ,us_l_huoqubing'srelics.dbr,"b""records\\item\\equipmenthelmus_l_huoqubing'srelics.dbr"""
Apple Bearer's Cap,Epic,42.0,ArmorProtective_Head,Armor of the Immortal Guard,TQ,us_e_armoroftheimmortalguard.dbr,b'records\\item\\equipmenthelmus_e_armoroftheimmortalguard.dbr'
Barrage,Epic,39.0,WeaponHunting_Bow,,TQ,u_e_barrage.dbr,b'records\\item\\equipmentweapon\\bowu_e_barrage.dbr'
Arcane Purifier,Epic,28.0,WeaponMelee_Mace,Agent of the Order,TQ Immortal Throne,xpack/secreto_club.dbr,b'records\\xpack\\item\\equipmentweapons\\clubsecreto_club.dbr'
Daedalus' Dread,Epic,47.0,WeaponHunting_Bow,,TQ,u_e_daedalus'dread.dbr,"b""records\\item\\equipmentweapon\\bowu_e_daedalus'dread.dbr"""
Sentinel's Armbands,MonsterInfrequent Epic,42.0,ArmorProtective_Forearm,,TQ,mi_e_gorgonmelee.dbr,b'records\\item\\equipmentarmbandmi_e_gorgonmelee.dbr'
Achilles' Shield,Legendary,62.0,WeaponArmor_Shield,Patroclus' Disguise,TQ,u_l_achilles'shield.dbr,"b""records\\item\\equipmentshieldu_l_achilles'shield.dbr"""
Helmet of the Restless King,MonsterInfrequent Normal,36.0,ArmorProtective_Head,,TQ Ragnarok,xpack2/mi_n_draugr.dbr,b'records\\xpack2\\item\\equipmentarmor\\helmmi_n_draugr.dbr'
Electrum Sling,Epic,18.0,WeaponHunting_RangedOneHand,,TQ Ragnarok,xpack2/u_n_05.dbr,b'records\\xpack2\\item\\equipmentweapons\\1hrangedu_n_05.dbr'
Cartouche Ring,Epic,18.0,ArmorJewelry_Ring,,TQ,u_n_cartouchering.dbr,b'records\\item\\equipmentringu_n_cartouchering.dbr'
Myrmidon's Legplate,MonsterInfrequent Normal,32.0,ArmorProtective_LowerBody,,TQ Immortal Throne,xpack/mi_n_formicidmelee02.dbr,b'records\\xpack\\item\\equipmentarmor\\greavesmi_n_formicidmelee02.dbr'
Jackal's Wristguard,MonsterInfrequent Normal,15.0,ArmorProtective_Forearm,,TQ,mi_n_jackalmanmelee.dbr,b'records\\item\\equipmentarmbandmi_n_jackalmanmelee.dbr'
Enforcer's Cuirass,MonsterInfrequent Epic,40.0,ArmorProtective_UpperBody,,TQ,mi_e_boarman.dbr,b'records\\item\\equipmentarmormi_e_boarman.dbr'
Ichthian Spine,MonsterInfrequent Normal,36.0,WeaponHunting_Spear,,TQ Ragnarok,xpack2/mi_n_fjordmelee.dbr,b'records\\xpack2\\item\\equipmentweapons\\spearmi_n_fjordmelee.dbr'
Coil of Resilience,Legendary,53.0,ArmorProtective_Forearm,,TQ,um_e_coilofresilience.dbr,b'records\\item\\equipmentarmbandum_e_coilofresilience.dbr'
Rune Blade,Epic,47.0,WeaponMelee_Sword,,TQ,u_e_runeblade.dbr,b'records\\item\\equipmentweapon\\swordu_e_runeblade.dbr'
Deathweaver's Chitin,MonsterInfrequent Normal,9.0,ArmorProtective_UpperBody,,TQ,mi_n_arachnos.dbr,b'records\\item\\equipmentarmormi_n_arachnos.dbr'
Shroud of Shadows,Epic,33.0,ArmorProtective_Head,Panoply of the Moirae,TQ Immortal Throne,xpack/us_n_001.dbr,b'records\\xpack\\item\\equipmentarmor\\helmus_n_001.dbr'
Deathwing Helmet,MonsterInfrequent Legendary,65.0,ArmorProtective_Head,,TQ,mi_l_deserthag.dbr,b'records\\item\\equipmenthelmmi_l_deserthag.dbr'
The Gatekeeper,Legendary,59.0,WeaponMagical_Staff,,TQ Immortal Throne,xpack/u_e_001.dbr,b'records\\xpack\\item\\equipmentweapons\\staffu_e_001.dbr'
Athena's Mirrored Shield,Legendary,59.0,WeaponArmor_Shield,,TQ,u_l_athenasmirroredshield.dbr,b'records\\item\\equipmentshieldu_l_athenasmirroredshield.dbr'
Vagabond's Shirt,MonsterInfrequent Normal,24.0,ArmorProtective_UpperBody,,TQ,mi_n_ratmanmelee.dbr,b'records\\item\\equipmentarmormi_n_ratmanmelee.dbr'
Oath Ring,Epic,16.0,ArmorJewelry_Ring,,TQ,u_n_oathring.dbr,b'records\\item\\equipmentringu_n_oathring.dbr'
Fell Blade,Epic,12.0,WeaponMelee_Sword,,TQ,u_n_fellblade.dbr,b'records\\item\\equipmentweapon\\swordu_n_fellblade.dbr'
Charm of the Magi,MonsterInfrequent Legendary,59.0,ArmorProtective_Forearm,,TQ,mi_l_satyrmage.dbr,b'records\\item\\equipmentarmbandmi_l_satyrmage.dbr'
