,Name,Classification,Item Level,Type,Set Name,From,"Item
DB Record",record
1632,Scepter of the Sphinx,Epic,45.0,WeaponMelee_Mace,The Sphinx,TQ,us_e_thesphinx.dbr,b'records\\item\\equipmentweapon\\clubus_e_thesphinx.dbr'
1633,Shield of the Royal Guard,Epic,16.0,WeaponArmor_Shield,,TQ,u_n_shieldoftheroyalguard.dbr,b'records\\item\\equipmentshieldu_n_shieldoftheroyalguard.dbr'
1634,Master Forge Armbands,MonsterInfrequent Normal,37.0,ArmorProtective_Forearm,,TQ Ragnarok,xpack2/mi_n_dvergrmelee.dbr,b'records\\xpack2\\item\\equipmentarmor\\armbandmi_n_dvergrmelee.dbr'
1635,Ichthian Harpoon,MonsterInfrequent Legendary,66.0,WeaponHunting_Spear,,TQ,mi_l_ichthianmelee.dbr,b'records\\item\\equipmentweapon\\spearmi_l_ichthianmelee.dbr'
1636,Fingerbone of Boreas,Legendary,68.0,WeaponMagical_Staff,,TQ,u_l_fingerboneofboreas.dbr,b'records\\item\\equipmentweapon\\staffu_l_fingerboneofboreas.dbr'
1637,Gram,Legendary,77.0,WeaponMelee_Sword,,TQ Ragnarok,xpack2/u_l_01.dbr,b'records\\xpack2\\item\\equipmentweapons\\swordu_l_01.dbr'
1638,Spiny Shell,Common,,ItemCharm,,TQ Immortal Throne,xpack/01_act4_spinyshell.dbr,b'records\\xpack\\item\\charms01_act4_spinyshell.dbr'
1639,Asphodel Band,Epic,33.0,ArmorJewelry_Ring,,TQ Immortal Throne,xpack/u_n_003.dbr,b'records\\xpack\\item\\equipmentarmor\\ringu_n_003.dbr'
1640,Stonebinder's Sash,MonsterInfrequent Epic,42.0,ArmorProtective_UpperBody,,TQ,mi_e_gorgonarcher.dbr,b'records\\item\\equipmentarmormi_e_gorgonarcher.dbr'
1641,Ichthian Oracle's Vestment,MonsterInfrequent Normal,22.0,ArmorProtective_UpperBody,,TQ,mi_n_ichthianmage.dbr,b'records\\item\\equipmentarmormi_n_ichthianmage.dbr'
1642,Ismene's Cuirass,MonsterInfrequent Epic,54.0,ArmorProtective_UpperBody,,TQ Immortal Throne,xpack/mi_e_lamiamelee.dbr,b'records\\xpack\\item\\equipmentarmor\\torsomi_e_lamiamelee.dbr'
1643,Rimescythe,Legendary,53.0,WeaponMelee_Sword,Crystalline Array,TQ,us_e_crystallinearray.dbr,b'records\\item\\equipmentweapon\\swordus_e_crystallinearray.dbr'
1644,Armguards of Valhöll,MonsterInfrequent Epic,59.0,ArmorProtective_Forearm,,TQ Ragnarok,xpack2/mi_e_einherjar.dbr,b'records\\xpack2\\item\\equipmentarmor\\armbandmi_e_einherjar.dbr'
1645,Ichthian Oracle's Crown,MonsterInfrequent Normal,22.0,ArmorProtective_Head,,TQ,mi_n_ichthianmage.dbr,b'records\\item\\equipmenthelmmi_n_ichthianmage.dbr'
1646,Riddle of the Sphinx,Legendary,65.0,WeaponMagical_Staff,,TQ,u_l_riddleofthesphinx.dbr,b'records\\item\\equipmentweapon\\staffu_l_riddleofthesphinx.dbr'
1647,Outrider's Tunic,MonsterInfrequent Epic,56.0,ArmorProtective_UpperBody,,TQ Ragnarok,xpack2/mi_e_centaur.dbr,b'records\\xpack2\\item\\equipmentarmor\\torsomi_e_centaur.dbr'
1648,Runeweave Leggings,Epic,33.0,ArmorProtective_LowerBody,,TQ Immortal Throne,xpack/um_n_003.dbr,b'records\\xpack\\item\\equipmentarmor\\greavesum_n_003.dbr'
1649,Blessing of the Moirae,Legendary,74.0,WeaponHunting_RangedOneHand,,TQ Ragnarok,xpack2/u_l_07.dbr,b'records\\xpack2\\item\\equipmentweapons\\1hrangedu_l_07.dbr'
1650,Form W-900,Epic,,ItemEquipment,,TQ Immortal Throne,xpack/parchment05.dbr,b'records\\xpack\\item\\parchmentsparchment05.dbr'
1651,Essence of the Iron Will of Ajax,Common,,ItemRelic,,TQ Immortal Throne,xpack/01_act4_ironwillofajax.dbr,b'records\\xpack\\item\\relics01_act4_ironwillofajax.dbr'
1652,White Crown,Epic,20.0,ArmorProtective_Head,,TQ,um_n_whitecrown.dbr,b'records\\item\\equipmenthelmum_n_whitecrown.dbr'
1653,Dagger of Basbona,Epic,37.0,WeaponMelee_Sword,,TQ Ragnarok,xpack2/u_n_02.dbr,b'records\\xpack2\\item\\equipmentweapons\\swordu_n_02.dbr'
1654,Emerald Quill,Lesser,5.0,ItemArtifact,,TQ Immortal Throne,xpack/e_la_emeraldquill.dbr,b'records\\xpack\\item\\artifactse_la_emeraldquill.dbr'
1655,Skeletal Darts,MonsterInfrequent Epic,2.0,WeaponHunting_RangedOneHand,,TQ Ragnarok,xpack2/mi_e_skeleton.dbr,b'records\\xpack2\\item\\equipmentweapons\\1hrangedmi_e_skeleton.dbr'
1656,Diogenes' Chiton,Legendary,55.0,ArmorProtective_UpperBody,,TQ,um_e_diogenes'chiton.dbr,"b""records\\item\\equipmentarmorum_e_diogenes'chiton.dbr"""
1657,Shadow Wall,Epic,44.0,WeaponArmor_Shield,Shadow Guard,TQ,us_e_shadowguard.dbr,b'records\\item\\equipmentshieldus_e_shadowguard.dbr'
1658,Bloodborn Girdle,MonsterInfrequent Legendary,71.0,ArmorProtective_UpperBody,,TQ Immortal Throne,xpack/mi_l_melinoemage.dbr,b'records\\xpack\\item\\equipmentarmor\\torsomi_l_melinoemage.dbr'
1659,Coil of Ker,MonsterInfrequent Normal,,ArmorProtective_Forearm,,TQ Immortal Throne,xpack/mi_n_keresmage.dbr,b'records\\xpack\\item\\equipmentarmor\\armbandmi_n_keresmage.dbr'
1660,Ethereal Cage,MonsterInfrequent Epic,39.0,ArmorProtective_UpperBody,,TQ,mi_e_wraith.dbr,b'records\\item\\equipmentarmormi_e_wraith.dbr'
1661,Theurgist's Ward,Legendary,59.0,ArmorProtective_Forearm,,TQ Immortal Throne,xpack/um_e_002.dbr,b'records\\xpack\\item\\equipmentarmor\\armbandum_e_002.dbr'
1662,Captain's Shield,Epic,8.0,WeaponArmor_Shield,,TQ,u_n_captain'sshield.dbr,"b""records\\item\\equipmentshieldu_n_captain'sshield.dbr"""
1663,Dreamweaver's Coil,Epic,56.0,ArmorProtective_Forearm,Dreamweaver's Regalia,TQ Immortal Throne,xpack/usm_e_001.dbr,b'records\\xpack\\item\\equipmentarmor\\armbandusm_e_001.dbr'
1664,Torment,Legendary,53.0,WeaponMelee_Axe,,TQ,u_e_torment.dbr,b'records\\item\\equipmentweapon\\axeu_e_torment.dbr'
1665,Crystalline Greaves,Legendary,53.0,ArmorProtective_LowerBody,Crystalline Array,TQ,us_e_crystallinearray.dbr,b'records\\item\\equipmentgreavesus_e_crystallinearray.dbr'
1666,Ceremonial Headdress,MonsterInfrequent Normal,15.0,ArmorProtective_Head,,TQ,mi_n_mummy.dbr,b'records\\item\\equipmenthelmmi_n_mummy.dbr'
1667,Sirona's Leggings,Epic,38.0,ArmorProtective_LowerBody,,TQ Ragnarok,xpack2/u_n_05.dbr,b'records\\xpack2\\item\\equipmentarmor\\greavesu_n_05.dbr'
1668,Arcane Formula ~ Crimson Viper,Greater,,ItemArtifactFormula,,TQ Immortal Throne,xpack/e_ga_crimsonviper_formula.dbr,b'records\\xpack\\item\\artifacts\\arcaneformulaee_ga_crimsonviper_formula.dbr'
1669,Homados,MonsterInfrequent Epic,56.0,ArmorProtective_UpperBody,,TQ Immortal Throne,xpack/mi_e_machaemelee.dbr,b'records\\xpack\\item\\equipmentarmor\\torsomi_e_machaemelee.dbr'
1670,Spirochaete,Epic,33.0,WeaponMagical_Staff,,TQ Immortal Throne,xpack/u_n_001.dbr,b'records\\xpack\\item\\equipmentweapons\\staffu_n_001.dbr'
1671,Armor of Khephuris,Epic,45.0,ArmorProtective_UpperBody,,TQ,u_e_armorofkhephuris.dbr,b'records\\item\\equipmentarmoru_e_armorofkhephuris.dbr'
1672,Arcane Formula ~ Crosier of Osiris,Divine,,ItemArtifactFormula,,TQ Immortal Throne,xpack/e_da_crosierofosiris_formula.dbr,b'records\\xpack\\item\\artifacts\\arcaneformulaee_da_crosierofosiris_formula.dbr'
1673,Arcane Formula ~ Ethereal Veil,Lesser,,ItemArtifactFormula,,TQ Immortal Throne,xpack/l_la_etherealveil_formula.dbr,b'records\\xpack\\item\\artifacts\\arcaneformulael_la_etherealveil_formula.dbr'
1674,Frostbite,Epic,12.0,WeaponMelee_Axe,,TQ,u_n_frostbite.dbr,b'records\\item\\equipmentweapon\\axeu_n_frostbite.dbr'
1675,Golden Crown of War,Legendary,63.0,ArmorProtective_Head,,TQ Ragnarok,xpack2/u_e_01.dbr,b'records\\xpack2\\item\\equipmentarmor\\helmu_e_01.dbr'
1676,Incarnation of the Light of Belenus,Common,,ItemRelic,,TQ Ragnarok,xpack2/03_act5_lightofbelenus.dbr,b'records\\xpack2\\item\\relics03_act5_lightofbelenus.dbr'
1677,Dvergr-Forged Battle Axe,MonsterInfrequent Legendary,78.0,WeaponMelee_Axe,,TQ Ragnarok,xpack2/mi_l_dvergr.dbr,b'records\\xpack2\\item\\equipmentweapons\\axemi_l_dvergr.dbr'
1678,Incarnation of Persephone's Tears,Common,,ItemRelic,,TQ Immortal Throne,xpack/03_act4_persephonestears.dbr,b'records\\xpack\\item\\relics03_act4_persephonestears.dbr'
1679,Raiment of Xi'Gua,Legendary,53.0,ArmorProtective_UpperBody,,TQ,u_e_raimentofxigua.dbr,b'records\\item\\equipmentarmoru_e_raimentofxigua.dbr'
1680,Glowing Bangle,Epic,8.0,ArmorProtective_Forearm,,TQ,um_n_glowingbangle.dbr,b'records\\item\\equipmentarmbandum_n_glowingbangle.dbr'
1681,Deathweaver's Shield,MonsterInfrequent Legendary,54.0,WeaponArmor_Shield,,TQ,mi_l_arachnos.dbr,b'records\\item\\equipmentshieldmi_l_arachnos.dbr'
1682,Deathweaver's Helmet,MonsterInfrequent Epic,42.0,ArmorProtective_Head,,TQ,mi_e_arachnos.dbr,b'records\\item\\equipmenthelmmi_e_arachnos.dbr'
1683,Galesong,Epic,50.0,ArmorProtective_UpperBody,,TQ,um_e_galesong.dbr,b'records\\item\\equipmentarmorum_e_galesong.dbr'
1684,Essence of the Golden Fleece,Common,,ItemRelic,,TQ,01_act1_goldenfleece.dbr,b'records\\item\\relics01_act1_goldenfleece.dbr'
1685,Incarnation of the Chill of Tartarus,Common,,ItemRelic,,TQ Immortal Throne,xpack/03_act4_chilloftartarus.dbr,b'records\\xpack\\item\\relics03_act4_chilloftartarus.dbr'
1686,Horns of Vorenus,Epic,33.0,ArmorProtective_Head,,TQ Immortal Throne,xpack/u_n_001.dbr,b'records\\xpack\\item\\equipmentarmor\\helmu_n_001.dbr'
1687,Epeius' Greaves,Epic,8.0,ArmorProtective_LowerBody,,TQ,u_n_epeius'greaves.dbr,"b""records\\item\\equipmentgreavesu_n_epeius'greaves.dbr"""
1688,Essence of the Domain of the Dragon-Kings,Common,,ItemRelic,,TQ,01_act3_dragonkingsdomain.dbr,b'records\\item\\relics01_act3_dragonkingsdomain.dbr'
1689,Jarngreipnr,Legendary,77.0,ArmorProtective_Forearm,Donar's Might,TQ Ragnarok,xpack2/us_l_donarsmight.dbr,b'records\\xpack2\\item\\equipmentarmor\\armbandus_l_donarsmight.dbr'
1690,Vestment of Bewilderment,Epic,49.0,ArmorProtective_UpperBody,,TQ,u_e_vestmentofbewilderment.dbr,b'records\\item\\equipmentarmoru_e_vestmentofbewilderment.dbr'
1691,Incarnation of Hecate's Crescent,Common,,ItemRelic,,TQ,03_act1_hecatescrescent.dbr,b'records\\item\\relics03_act1_hecatescrescent.dbr'
1692,Nerthus Armbands,Epic,61.0,ArmorProtective_Forearm,,TQ Ragnarok,xpack2/u_e_05.dbr,b'records\\xpack2\\item\\equipmentarmor\\armbandu_e_05.dbr'
1693,Embodiment of the Monkey King's Trickery,Common,,ItemRelic,,TQ,02_act3_monkeykingstrickery.dbr,b'records\\item\\relics02_act3_monkeykingstrickery.dbr'
1694,Harbinger's Bracer,Epic,56.0,ArmorProtective_Forearm,The Harbinger,TQ Immortal Throne,xpack/us_e_004.dbr,b'records\\xpack\\item\\equipmentarmor\\armbandus_e_004.dbr'
1695,Ichthian Whomper,MonsterInfrequent Epic,48.0,WeaponMelee_Mace,,TQ,mi_e_ichthianmelee.dbr,b'records\\item\\equipmentweapon\\clubmi_e_ichthianmelee.dbr'
1696,Troll's Branch,MonsterInfrequent Epic,57.0,WeaponMagical_Staff,,TQ Ragnarok,xpack2/mi_e_troll.dbr,b'records\\xpack2\\item\\equipmentweapons\\staffmi_e_troll.dbr'
1697,Phonoi,MonsterInfrequent Epic,55.0,WeaponMelee_Axe,,TQ Immortal Throne,xpack/mi_e_machae.dbr,b'records\\xpack\\item\\equipmentweapons\\axemi_e_machae.dbr'
1698,Persephone's Ring,Legendary,69.0,ArmorJewelry_Ring,,TQ Immortal Throne,xpack/u_l_002.dbr,b'records\\xpack\\item\\equipmentarmor\\ringu_l_002.dbr'
1699,The Night Mistress's Corselet,MonsterInfrequent Normal,32.0,ArmorProtective_UpperBody,,TQ Immortal Throne,xpack/mi_n_empusamage.dbr,b'records\\xpack\\item\\equipmentarmor\\torsomi_n_empusamage.dbr'
1700,Dwarven Bone Fetish,Epic,38.0,ArmorJewelry_Amulet,,TQ Ragnarok,xpack2/u_n_001.dbr,b'records\\xpack2\\item\\equipmentarmor\\amuletu_n_001.dbr'
1701,Helmet of the Restless King,MonsterInfrequent Legendary,77.0,ArmorProtective_Head,,TQ Ragnarok,xpack2/mi_l_draugr.dbr,b'records\\xpack2\\item\\equipmentarmor\\helmmi_l_draugr.dbr'
1702,Deathweaver's Helmet,MonsterInfrequent Normal,9.0,ArmorProtective_Head,,TQ,mi_n_arachnos.dbr,b'records\\item\\equipmenthelmmi_n_arachnos.dbr'
1703,Primal Magma,Common,,ItemCharm,,TQ Ragnarok,xpack2/01_act5_primalmagma.dbr,b'records\\xpack2\\item\\charms01_act5_primalmagma.dbr'
1704,Incarnation of the Golden Fleece,Common,,ItemRelic,,TQ,03_act1_goldenfleece.dbr,b'records\\item\\relics03_act1_goldenfleece.dbr'
1705,Essence of Dionysus' Wineskin,Common,,ItemRelic,,TQ,01_act1_dionysuswineskin.dbr,b'records\\item\\relics01_act1_dionysuswineskin.dbr'
1706,Alcyoneus’ Legplates,MonsterInfrequent Normal,32.0,ArmorProtective_LowerBody,,TQ Immortal Throne,xpack/mi_n_gigantesmelee02.dbr,b'records\\xpack\\item\\equipmentarmor\\greavesmi_n_gigantesmelee02.dbr'
1707,Teslos,Epic,20.0,WeaponMelee_Sword,,TQ,u_n_teslos.dbr,b'records\\item\\equipmentweapon\\swordu_n_teslos.dbr'
1708,Garb of the Scorpion King,Epic,20.0,ArmorProtective_UpperBody,Gebel Tjauti,TQ,us_n_gebeltjauti.dbr,b'records\\item\\equipmentarmorus_n_gebeltjauti.dbr'
1709,Trapper's Spear,MonsterInfrequent Epic,37.0,WeaponHunting_Spear,,TQ,mi_e_centaurtrapper.dbr,b'records\\item\\equipmentweapon\\spearmi_e_centaurtrapper.dbr'
1710,Batrachos Greaves,MonsterInfrequent Normal,32.0,ArmorProtective_LowerBody,,TQ Immortal Throne,xpack/mi_n_anouranmelee.dbr,b'records\\xpack\\item\\equipmentarmor\\greavesmi_n_anouranmelee.dbr'
1711,Kelpie Vambrace,MonsterInfrequent Normal,36.0,ArmorProtective_Forearm,,TQ Ragnarok,xpack2/mi_n_kelpie.dbr,b'records\\xpack2\\item\\equipmentarmor\\armbandmi_n_kelpie.dbr'
1712,Soldier's Legplate,MonsterInfrequent Normal,32.0,ArmorProtective_LowerBody,,TQ Immortal Throne,xpack/mi_n_formicidmelee01.dbr,b'records\\xpack\\item\\equipmentarmor\\greavesmi_n_formicidmelee01.dbr'
1713,Raiment of the Deep,MonsterInfrequent Epic,58.0,ArmorProtective_UpperBody,,TQ Ragnarok,xpack2/mi_e_fjordmage.dbr,b'records\\xpack2\\item\\equipmentarmor\\torsomi_e_fjordmage.dbr'
1714,Coronal of the Abyss,Legendary,75.0,ArmorProtective_Head,,TQ Immortal Throne,xpack/um_l_002.dbr,b'records\\xpack\\item\\equipmentarmor\\helmum_l_002.dbr'
1715,Athlon,Legendary,56.0,ArmorProtective_Head,,TQ,u_e_athlon.dbr,b'records\\item\\equipmenthelmu_e_athlon.dbr'
1716,Staff of the Chosen,MonsterInfrequent Legendary,76.0,WeaponMagical_Staff,,TQ Ragnarok,xpack2/mi_l_nerthusshaman.dbr,b'records\\xpack2\\item\\equipmentweapons\\staffmi_l_nerthusshaman.dbr'
1717,Hu Hai's Pride,Epic,28.0,WeaponHunting_Spear,,TQ,u_n_huhai'spride.dbr,"b""records\\item\\equipmentweapon\\spearu_n_huhai'spride.dbr"""
1718,Crystal Bracelet,Epic,45.0,ArmorProtective_Forearm,The Ice Crystals,TQ,um_e_crystalbracelet.dbr,b'records\\item\\equipmentarmbandum_e_crystalbracelet.dbr'
1719,Desert's Kiss,Epic,16.0,WeaponHunting_Spear,,TQ,u_n_desert'skiss.dbr,"b""records\\item\\equipmentweapon\\spearu_n_desert'skiss.dbr"""
1720,Ajax' Bronze Tower,Legendary,59.0,WeaponArmor_Shield,,TQ,u_l_ajax'bronzetower.dbr,"b""records\\item\\equipmentshieldu_l_ajax'bronzetower.dbr"""
1721,Epic Cold Essence,Common,,ItemCharm,,TQ Ragnarok,xpack2/02_act5_coldessence.dbr,b'records\\xpack2\\item\\charms02_act5_coldessence.dbr'
1722,Brynhild's Helm,Legendary,77.0,ArmorProtective_Head,,TQ Ragnarok,xpack2/u_l_04.dbr,b'records\\xpack2\\item\\equipmentarmor\\helmu_l_04.dbr'
1723,Armor of Peleus,Legendary,65.0,ArmorProtective_UpperBody,,TQ,u_l_armorofpeleus.dbr,b'records\\item\\equipmentarmoru_l_armorofpeleus.dbr'
1724,Brigand's Bow,MonsterInfrequent Epic,37.0,WeaponHunting_Bow,,TQ,mi_e_satyrbrigand.dbr,b'records\\item\\equipmentweapon\\bowmi_e_satyrbrigand.dbr'
1725,Labyrinthine Bracers,Epic,12.0,ArmorProtective_Forearm,Labyrinthine Warsuit,TQ,us_n_labyrinthinearmor.dbr,b'records\\item\\equipmentarmbandus_n_labyrinthinearmor.dbr'
1726,Suanmi,Epic,49.0,WeaponHunting_Bow,,TQ,u_e_suanmi.dbr,b'records\\item\\equipmentweapon\\bowu_e_suanmi.dbr'
1727,Alexander's Cuirass,Legendary,68.0,ArmorProtective_UpperBody,Alexander's Panoply,TQ,us_l_alexander'spanoply.dbr,"b""records\\item\\equipmentarmorus_l_alexander'spanoply.dbr"""
1728,Embodiment of the Light of Belenus,Common,,ItemRelic,,TQ Ragnarok,xpack2/02_act5_lightofbelenus.dbr,b'records\\xpack2\\item\\relics02_act5_lightofbelenus.dbr'
1729,Lazarus Bracers,Epic,24.0,ArmorProtective_Forearm,Lazarus Armor,TQ,us_n_lazarusarmor.dbr,b'records\\item\\equipmentarmbandus_n_lazarusarmor.dbr'
1730,The Imperator,Legendary,59.0,WeaponMelee_Sword,,TQ Immortal Throne,xpack/u_e_002.dbr,b'records\\xpack\\item\\equipmentweapons\\swordu_e_002.dbr'
1731,The Monkey King's Greed,Epic,49.0,WeaponMelee_Axe,,TQ,u_e_themonkeyking'sgreed.dbr,"b""records\\item\\equipmentweapon\\axeu_e_themonkeyking'sgreed.dbr"""
1732,Thialfi's Studded Arms,Epic,37.0,ArmorProtective_Forearm,Thialfi's Studded Leathers,TQ Ragnarok,xpack2/u_n_01.dbr,b'records\\xpack2\\item\\equipmentarmor\\armbandu_n_01.dbr'
1733,Exotic Mask,MonsterInfrequent Normal,22.0,ArmorProtective_Head,,TQ,mi_n_tropicalarachnos.dbr,b'records\\item\\equipmenthelmmi_n_tropicalarachnos.dbr'
1734,Windswept Greaves,MonsterInfrequent Normal,16.0,ArmorProtective_LowerBody,,TQ,mi_n_duneraider.dbr,b'records\\item\\equipmentgreavesmi_n_duneraider.dbr'
1735,Exotic Carapace,MonsterInfrequent Legendary,60.0,WeaponArmor_Shield,,TQ,mi_l_tropicalarachnos.dbr,b'records\\item\\equipmentshieldmi_l_tropicalarachnos.dbr'
1736,Lar,MonsterInfrequent Legendary,70.0,ArmorProtective_Forearm,,TQ Immortal Throne,xpack/mi_l_troglodytemelee.dbr,b'records\\xpack\\item\\equipmentarmor\\armbandmi_l_troglodytemelee.dbr'
1737,Phylactery of Shadows,Lesser,5.0,ItemArtifact,,TQ Immortal Throne,xpack/e_la_phylacteryofshadows.dbr,b'records\\xpack\\item\\artifactse_la_phylacteryofshadows.dbr'
1738,Blackrock Mallet,Epic,28.0,WeaponMelee_Mace,,TQ,u_n_blackrockmallet.dbr,b'records\\item\\equipmentweapon\\clubu_n_blackrockmallet.dbr'
1739,Chromatic Diadem,Epic,20.0,ArmorProtective_Head,,TQ,um_n_chromaticdiadem.dbr,b'records\\item\\equipmenthelmum_n_chromaticdiadem.dbr'
1740,Brigand's Axe,Epic,24.0,WeaponMelee_Axe,,TQ,u_n_brigand'saxe.dbr,"b""records\\item\\equipmentweapon\\axeu_n_brigand'saxe.dbr"""
1741,Arcane Formula ~ Sunstone,Lesser,,ItemArtifactFormula,,TQ Immortal Throne,xpack/n_la_sunstone_formula.dbr,b'records\\xpack\\item\\artifacts\\arcaneformulaen_la_sunstone_formula.dbr'
1742,Bracers of Atlas,Epic,16.0,ArmorProtective_Forearm,,TQ,u_n_bracersofatlas.dbr,b'records\\item\\equipmentarmbandu_n_bracersofatlas.dbr'
1743,Scironian Helmet,MonsterInfrequent Epic,56.0,ArmorProtective_Head,,TQ Ragnarok,xpack2/mi_e_banditgreek.dbr,b'records\\xpack2\\item\\equipmentarmor\\helmmi_e_banditgreek.dbr'
1744,Deathrattle,Lesser,5.0,ItemArtifact,,TQ Immortal Throne,xpack/n_la_deathrattle.dbr,b'records\\xpack\\item\\artifactsn_la_deathrattle.dbr'
1745,Arcane Formula ~ Shroud of Eternal Night,Lesser,,ItemArtifactFormula,,TQ Immortal Throne,xpack/n_la_shroudofeternalnight_formula.dbr,b'records\\xpack\\item\\artifacts\\arcaneformulaen_la_shroudofeternalnight_formula.dbr'
1746,Diogenes' Wrap,Legendary,53.0,ArmorProtective_Forearm,,TQ,um_e_diogenes'wrap.dbr,"b""records\\item\\equipmentarmbandum_e_diogenes'wrap.dbr"""
1747,Defiler,Epic,39.0,WeaponHunting_Spear,,TQ,u_e_defiler.dbr,b'records\\item\\equipmentweapon\\spearu_e_defiler.dbr'
1748,Ptolemy's Crested Helm,Epic,48.0,ArmorProtective_Head,,TQ,u_e_ptolemy'screstedhelm.dbr,"b""records\\item\\equipmenthelmu_e_ptolemy'screstedhelm.dbr"""
1749,Head Hunter's Axe,MonsterInfrequent Epic,49.0,WeaponMelee_Axe,,TQ,mi_e_dragonian.dbr,b'records\\item\\equipmentweapon\\axemi_e_dragonian.dbr'
1750,Thracian Shin Guards,Legendary,61.0,ArmorProtective_LowerBody,,TQ Ragnarok,xpack2/u_e_02.dbr,b'records\\xpack2\\item\\equipmentarmor\\greavesu_e_02.dbr'
1751,Ethereal Cage,MonsterInfrequent Normal,9.0,ArmorProtective_UpperBody,,TQ,mi_n_wraith.dbr,b'records\\item\\equipmentarmormi_n_wraith.dbr'
1752,Torc of the Ancestors,Legendary,79.0,ArmorJewelry_Amulet,,TQ Ragnarok,xpack2/u_l_001.dbr,b'records\\xpack2\\item\\equipmentarmor\\amuletu_l_001.dbr'
1753,Oracle's Vestment,Epic,12.0,ArmorProtective_UpperBody,Oracle's Garments,TQ,usm_n_oracle'sgarments.dbr,"b""records\\item\\equipmentarmorusm_n_oracle'sgarments.dbr"""
1754,Pytho,Legendary,75.0,WeaponMelee_Axe,,TQ Immortal Throne,xpack/u_l_001.dbr,b'records\\xpack\\item\\equipmentweapons\\axeu_l_001.dbr'
1755,Emperor's Gift,Epic,49.0,WeaponHunting_Bow,,TQ,u_e_emperorsgift.dbr,b'records\\item\\equipmentweapon\\bowu_e_emperorsgift.dbr'
1756,Vest of the Wandering Goat,Epic,28.0,ArmorProtective_UpperBody,,TQ,um_n_vestofthewanderinggoat.dbr,b'records\\item\\equipmentarmorum_n_vestofthewanderinggoat.dbr'
1757,Sorcerer's Fate,Epic,37.0,WeaponMelee_Axe,,TQ Ragnarok,xpack2/u_n_02.dbr,b'records\\xpack2\\item\\equipmentweapons\\axeu_n_02.dbr'
1758,Ymochel's Riddlerobe,Epic,49.0,ArmorProtective_UpperBody,,TQ,um_e_ymochelsriddlerobe.dbr,b'records\\item\\equipmentarmorum_e_ymochelsriddlerobe.dbr'
1759,Ch'kra's Leggings,MonsterInfrequent Legendary,68.0,ArmorProtective_LowerBody,,TQ Immortal Throne,xpack/mi_l_formicidmage02.dbr,b'records\\xpack\\item\\equipmentarmor\\greavesmi_l_formicidmage02.dbr'
1760,Caduceus,Legendary,65.0,WeaponMagical_Staff,,TQ,u_l_caduceus.dbr,b'records\\item\\equipmentweapon\\staffu_l_caduceus.dbr'
1761,Black Pearl Pendant,Legendary,61.0,ArmorJewelry_Amulet,The Cursed Jewels,TQ,u_l_blackpearlpendant.dbr,b'records\\item\\equipmentamuletu_l_blackpearlpendant.dbr'
1762,Shatterbone,Epic,28.0,WeaponMelee_Mace,,TQ,u_n_shatterbone.dbr,b'records\\item\\equipmentweapon\\clubu_n_shatterbone.dbr'
1763,Kingslayer,Greater,5.0,ItemArtifact,,TQ Immortal Throne,xpack/e_ga_sandofkronos.dbr,b'records\\xpack\\item\\artifactse_ga_sandofkronos.dbr'
1764,Scepter of the Shadow King,Legendary,75.0,WeaponMelee_Mace,,TQ Immortal Throne,xpack/u_l_001.dbr,b'records\\xpack\\item\\equipmentweapons\\clubu_l_001.dbr'
1765,Scorpion's Tail,Legendary,53.0,WeaponHunting_Spear,,TQ,u_e_scorpion'stail.dbr,"b""records\\item\\equipmentweapon\\spearu_e_scorpion'stail.dbr"""
1766,Obsidian Helm,Epic,16.0,ArmorProtective_Head,Obsidian Armor,TQ,us_n_obsidianarmor.dbr,b'records\\item\\equipmenthelmus_n_obsidianarmor.dbr'
1767,Dragontongue,Greater,5.0,ItemArtifact,,TQ Immortal Throne,xpack/e_ga_dragontongue.dbr,b'records\\xpack\\item\\artifactse_ga_dragontongue.dbr'
1768,Prophecy,Epic,56.0,WeaponMelee_Sword,The Harbinger,TQ Immortal Throne,xpack/us_e_004.dbr,b'records\\xpack\\item\\equipmentweapons\\swordus_e_004.dbr'
1769,Stonebinder's Cuffs,MonsterInfrequent Epic,42.0,ArmorProtective_Forearm,,TQ,mi_e_gorgonarcher.dbr,b'records\\item\\equipmentarmbandmi_e_gorgonarcher.dbr'
1770,Emerald Crown,Epic,20.0,ArmorProtective_Head,,TQ,u_n_emeraldcrown.dbr,b'records\\item\\equipmenthelmu_n_emeraldcrown.dbr'
1771,Gusir's Gifts,Legendary,77.0,WeaponHunting_Bow,,TQ Ragnarok,xpack2/u_l_02.dbr,b'records\\xpack2\\item\\equipmentweapons\\bowu_l_02.dbr'
1772,Essence of Guan-Yu's Grace,Common,,ItemRelic,,TQ,01_act3_guanyusgrace.dbr,b'records\\item\\relics01_act3_guanyusgrace.dbr'
1773,Batrachos Breastplate,MonsterInfrequent Epic,55.0,ArmorProtective_UpperBody,,TQ Immortal Throne,xpack/mi_e_anouranmelee.dbr,b'records\\xpack\\item\\equipmentarmor\\torsomi_e_anouranmelee.dbr'
1774,Khthonion Razor,MonsterInfrequent Normal,32.0,WeaponMelee_Sword,,TQ Immortal Throne,xpack/mi_n_melinoe.dbr,b'records\\xpack\\item\\equipmentweapons\\swordmi_n_melinoe.dbr'
